Angular CLI version,Angular version,Node.js version,TypeScript version,RxJS version
1.0.0-beta.17 (package name: angular-cli),2.0.x,6.9.x or later minor version,2.0.x,5.0.x or later minor version
1.0.0-beta.20-1 (package name: angular-cli),2.1.x,6.9.x or later minor version,2.0.x,5.0.x or later minor version
1.0.0-beta.22-1 (package name: angular-cli),2.2.x,6.9.x or later minor version,2.0.x,5.0.x or later minor version
1.0.0-beta.30,2.3.x,6.9.x or later minor version,2.0.x,5.0.x or later minor version
1.0.0-rc.4,2.4.x,6.9.x or later minor version,2.0.x,5.0.x or later minor version
1.0.6,4.0.x/4.1.x,6.9.x or later minor version,2.2.x,5.0.x or later minor version
1.1.3,4.0.x/4.1.x,6.9.x or later minor version,2.3.x,5.0.x or later minor version
1.2.7,4.0.x/4.1.x,6.9.x or later minor version,2.3.x,5.0.x or later minor version
1.3.2,4.2.x/4.3.x/4.4.x,6.9.x or later minor version,2.4.x,5.0.x or later minor version
1.4.10,4.2.x/4.3.x/4.4.x,6.9.x/8.9.x or later minor version,2.4.x,5.0.x or later minor version
1.5.6,5.0.x/5.1.x,6.9.x/8.9.x or later minor version,2.4.x/2.5.x,5.5.x
1.6.7,5.2.x,6.9.x/8.9.x or later minor version,2.5.x,5.5.x
1.7.4,5.2.x,6.9.x/8.9.x or later minor version,2.5.x,5.5.x
6.0.8,6.0.x,8.9.x or later minor version,2.7.x,6.0.x or later minor version
6.1.5,6.1.x,8.9.x or later minor version,2.7.x,6.2.x or later minor version
6.2.9,6.1.x,8.9.x or later minor version,2.9.x,6.2.x or later minor version
7.0.7,7.0.x,8.9.x/10.9.x or later minor version,3.1.x,6.3.x or later minor version
7.1.4,7.1.x,8.9.x/10.9.x or later minor version,3.1.x,6.3.x or later minor version
7.2.4,7.2.x,8.9.x/10.9.x or later minor version,3.2.x,6.3.x or later minor version
7.3.9,7.2.x,8.9.x/10.9.x or later minor version,3.2.x,6.3.x or later minor version
8.0.6,8.0.x,10.9.x or later minor version,3.4.x,6.4.x or later minor version
8.1.3,8.1.x,10.9.x or later minor version,3.4.x,6.4.x or later minor version
8.2.2,8.2.x,10.9.x or later minor version,3.4.x,6.4.x or later minor version
8.3.29,8.2.x,10.9.x or later minor version,3.5.x,6.4.x or later minor version
9.0.7,9.0.x,10.13.x/12.11.x or later minor version,3.6.x/3.7.x,6.5.x/6.6.x
9.1.15,9.1.x,10.13.x/12.11.x or later minor version,3.6.x/3.7.x/3.8.x,6.5.x/6.6.x
10.0.8,10.0.x,10.13.x/12.11.x or later minor version,3.9.x,6.5.x/6.6.x
10.1.7,10.1.x,10.13.x/12.11.x or later minor version,3.9.x/4.0.x,6.6.x
10.2.x,10.2.x,10.13.x/12.11.x or later minor version,3.9.x/4.0.x,6.6.x
11.0.7,11.0.x,10.13.x/12.11.x or later minor version,4.0.x,6.6.x
11.1.4,11.1.x,10.13.x/12.11.x or later minor version,4.0.x/4.1.x,6.6.x
11.2.x,11.2.x,10.13.x/12.11.x or later minor version,4.0.x/4.1.x,6.6.x
12.0.5,12.0.x,12.14.x/14.15.x or later minor version,4.2.x,6.6.x
12.1.4,12.1.x,12.14.x/14.15.x or later minor version,4.2.x/4.3.x,6.6.x
12.2.x,12.2.x,12.14.x/14.15.x or later minor version,4.2.x/4.3.x,6.6.x/7.0.x or later minor version
13.0.x,13.0.x,12.20.x/14.15.x/16.10.x or later minor version,4.4.x,6.6.x/7.3.x or later minor version
